% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1003	1	4	3	0	0	165	0	1
1003	2	20	15	0	0	165	0	1
1003	3	23	23	0	0	165	0	1
1003	4	40	33	0	0	165	0	1
1003	5	42	12	0	0	165	0	1
1003	6	57	1	0	0	165	0	1
1003	7	64	8	0	18	1980	0	1
1004	1	1	6	0	0	165	0	1
1004	2	17	21	0	0	165	0	1
1004	3	30	59	0	0	165	0	1
1004	4	38	37	0	0	165	0	1
1004	5	43	23	0	0	165	0	1
1004	6	58	2	0	0	165	0	1
1004	7	69	1	0	16	1836	0	1
1005	1	8	7	0	0	165	0	1
1005	2	11	34	0	0	165	0	1
1005	3	27	65	0	0	165	0	1
1005	4	37	42	0	0	165	0	1
1005	5	45	33	0	0	165	0	1
1005	6	59	3	0	0	165	0	1
1005	7	63	3	0	14	1527	0	1
1006	1	7	8	0	0	165	0	1
1006	2	18	36	0	0	165	0	1
1006	3	29	85	0	0	165	0	1
1006	4	39	74	0	0	165	0	1
1006	5	50	45	0	0	165	0	1
1006	6	60	8	0	0	165	0	1
1006	7	70	2	0	12	1191	0	1
1007	1	10	15	0	0	165	0	1
1007	2	16	44	0	0	165	0	1
1007	3	24	94	0	0	165	0	1
1007	4	34	89	0	0	165	0	1
1007	5	47	49	0	0	165	0	1
1007	6	53	12	0	0	165	0	1
1007	7	61	7	0	10	935	0	1
1008	1	2	19	0	0	165	0	1
1008	2	19	62	0	0	165	0	1
1008	3	26	102	0	0	165	0	1
1008	4	31	93	0	0	165	0	1
1008	5	46	56	0	0	165	0	1
1008	6	52	30	0	0	165	0	1
1008	7	65	4	0	6	621	0	1
1009	1	9	23	0	0	165	0	1
1009	2	12	73	0	0	165	0	1
1009	3	25	123	0	0	165	0	1
1009	4	32	110	0	0	165	0	1
1009	5	41	58	0	0	165	0	1
1009	6	55	40	0	0	165	0	1
1009	7	62	6	0	6	621	0	1
1010	1	5	49	0	0	165	0	1
1010	2	15	99	0	0	165	0	1
1010	3	23	23	0	0	165	1	0
1010	4	36	121	0	0	165	0	1
1010	5	49	67	0	0	165	0	1
1010	6	56	54	0	0	165	0	1
1010	7	68	5	0	4	437	0	1
1011	1	3	58	0	0	165	0	1
