% time	cellId	IMSI	RNTI	sinrLinear
0.161	6	57	1	2.51992
0.161	7	69	1	178.41
0.162	6	58	2	2.13828
0.162	7	70	2	45.905
0.163	1	4	3	1.07165
0.163	6	59	3	0.762166
0.163	7	63	3	50.1255
0.164	7	65	4	31343.4
0.165	7	68	5	27272.9
0.166	1	1	6	0.952817
0.166	7	62	6	16.2387
0.167	1	8	7	0.926507
0.167	7	61	7	46.8656
0.168	1	7	8	0.505694
0.168	6	60	8	0.38221
0.168	7	64	8	135.493
0.171	7	66	11	27391.8
0.172	5	42	12	0.377296
0.172	6	53	12	0.0495388
0.172	7	67	12	12.176
0.175	1	10	15	0.0039477
0.175	2	20	15	0.381015
0.179	1	2	19	1629.93
0.181	2	17	21	450.692
0.183	1	9	23	0.751805
0.183	3	23	23	0.114909
0.183	5	43	23	0.00672945
0.19	6	52	30	1459.33
0.193	4	40	33	0.514981
0.193	5	45	33	0.430058
0.194	2	11	34	428.744
0.196	2	18	36	484.862
0.197	4	38	37	922.747
0.2	6	55	40	905.497
0.202	4	37	42	1226.22
0.204	2	16	44	433.954
0.205	5	50	45	501.236
0.209	5	47	49	488.486
0.214	6	56	54	1123.92
0.215	6	54	55	1613.37
0.219	3	30	59	308.64
0.225	3	27	65	319.381
0.234	4	39	74	1197.36
0.245	3	29	85	366.646
0.249	4	34	89	1278.1
0.253	4	31	93	1853.03
0.321	6	57	1	2.51992
0.321	7	69	1	178.41
0.322	6	58	2	2.13828
0.322	7	70	2	45.905
0.323	1	4	3	1.07165
0.323	6	59	3	0.762166
0.323	7	63	3	50.1255
0.324	7	65	4	31343.4
0.325	7	68	5	27272.9
0.326	1	1	6	0.952817
0.326	7	62	6	16.2387
0.327	1	8	7	0.926507
0.327	7	61	7	46.8656
0.328	1	7	8	0.505694
0.328	6	60	8	0.38221
0.328	7	64	8	135.493
0.331	7	66	11	27391.8
0.332	5	42	12	0.377296
0.332	6	53	12	0.0495388
0.332	7	67	12	12.176
0.335	1	10	15	0.0039477
0.335	2	20	15	0.381015
